title,instructor,organization,assignments,overall rating,challenge,workload,requirement,expected grade,expected grade P/F,response count
17484 - EBIO 280 - SUSTAINABILITY DEVELOPMENT - Fall 2017,"King, Lester O.",2,1,1.25,1,2.75,3,1,0,4
10771 - EBIO 323 - CONSERVATION BIOLOGY - Fall 2017,"Dunham, Amy E.",1.78,2,1.92,1.96,2.22,2.59,1.15,0,27
12396 - EBIO 325 - ECOLOGY - Fall 2017,"Miller, Thomas E.",1.65,1.93,1.85,1.85,2.72,2.24,1.4,1,46
10869 - EBIO 326 - INSECT BIOLOGY - Fall 2016,"Solomon, Scott E.",1.69,1.63,1.56,1.69,2.81,2.5,1.93,2,16
23748 - ECON 307 - PROBABILITY &amp; STATISTICS - Spring 2016,"Ernst, Philip A.",1.15,1.15,1.13,1.38,2.6,2.05,1.33,1,40
14451 - EMSP 281 - EMT-B INTRO TO EMERGENCY CARE - Fall 2017,"Herrod, Trent E.",1.86,1.86,1.79,1.46,4.43,4,1.64,1,14
13074 - EMSP 282 - ADVANCED EMT - Fall 2017,"Martin, Jacob T.",2.54,2.38,2.15,1.38,4.31,4,1.29,1,13
17105 - ENST 117 - FRESHMAN ENVIRONMENTAL SEMINAR - Fall 2017,"Masiello, Caroline A.; Barefoot, Eric",1.4,1.4,1,1.2,1.8,3.6,1,0,5
17105 - ENST 117 - FRESHMAN ENVIRONMENTAL SEMINAR - Fall 2017,"Masiello, Caroline A.; Barefoot, Eric",1.4,1.4,1,1.2,1.8,3.6,1,0,5
10589 - ENST 204 - COMMUNITY GARDEN - Fall 2017,"Novak, Joseph R.",1.68,1.44,1.52,1.71,2.33,3.83,1.2,1,25
11169 - ENST 302 - ENVIRON ISSUES: RICE IN FUTURE - Fall 2017,"Johnson, Richard R.",1.4,1.53,1.27,1.4,3.33,2.53,1.13,1,15
10772 - ENST 323 - CONSERVATION BIOLOGY - Fall 2017,"Dunham, Amy E.",1.78,2,1.92,1.96,2.22,2.59,1.15,0,27
16450 - ESCI 103 - FIELD TRIPS FOR THE EARTH - Fall 2017,"Droxler, Andre W.",1.85,1.69,1.46,1.85,2,3.77,1.08,0,13
10353 - ESCI 107 - OCEANS AND GLOBAL CHANGE - Fall 2015,"Droxler, Andre W.",3,3.33,3,2.6,2.2,1.83,1.5,0,6
17186 - ESCI 115 - INTRODUCTION TO THE EARTH - Fall 2017,"Morgan, Julia K.",1.64,2,1.91,2.27,2.36,2.45,1.3,1,11
12604 - ESCI 214 - THE PLANETS - Fall 2017,"Lenardic, Adrian",1.42,1.45,1.36,1.75,1.92,2.5,1.5,1,12
16451 - ESCI 321 - EARTH SYSTEM EVOLUTION/CYCLES - Fall 2017,"Nittrouer, Jeffrey A.; Lee, Cin-Ty A.",2.86,2.14,2.14,1.57,2.86,2,1.43,0,7
16452 - ESCI 322 - EARTH CHEMISTRY &amp; MATERIALS - Fall 2017,"Dasgupta, Rajdeep; Lee, Cin-Ty A.",1.17,1.5,1.17,1.17,2.83,2.17,2.17,0,6
10690 - FSEM 115 - FRESHMAN BIOLOGY SEMINAR (BCB) - Fall 2017,"Kirienko, Daniel R.",1.75,1.5,1.63,2,2.5,3.5,1.13,0,8
10690 - FSEM 115 - FRESHMAN BIOLOGY SEMINAR (BCB) - Fall 2017,"Kirienko, Daniel R.",1.75,1.5,1.63,2,2.5,3.5,1.13,0,8
10690 - FSEM 115 - FRESHMAN BIOLOGY SEMINAR (BCB) - Fall 2017,"Kirienko, Daniel R.",1.75,1.5,1.63,2,2.5,3.5,1.13,0,8
10690 - FSEM 115 - FRESHMAN BIOLOGY SEMINAR (BCB) - Fall 2017,"Kirienko, Daniel R.",1.75,1.5,1.63,2,2.5,3.5,1.13,0,8
17509 - FSEM 116 - FRESHMAN BIOLOGY SEMINAR (EEB) - Fall 2017,"Carter, Shannon K.",2,1.6,1.75,1.4,2.8,3.4,1,0,5
10938 - GLHT 201 - INTRO TO GLOBAL HEALTH - Fall 2017,"Leautaud Suderland, Veronica",2.14,2.13,1.89,2.3,2.42,3.04,1.18,1,78
10330 - KINE 301 - HUMAN PHYSIOLOGY - Fall 2017,"Papadakis, Zacharias",2.65,2.7,2.8,2.59,1.98,2.72,1.36,1,40
20191 - MATH 101 - SINGLE VARIABLE CALCULUS I - Spring 2016,"Wang, Stephen S.",1.29,1.6,1.47,1.6,3.33,2.13,1.92,1,14
10207 - MATH 211 - ORD DIFFERENTIAL EQUATIONS - Fall 2017,"Petok, Jack",2.59,2.14,2.5,2.09,3.5,2.09,1.67,1,22
17202 - MATH 211 - ORD DIFFERENTIAL EQUATIONS - Fall 2017,"Orcan Ekmekci, Betul",1.81,1.93,1.95,1.67,3.19,2.16,1.75,1,43
10210 - MATH 212 - MULTIVARIABLE CALCULUS - Fall 2017,"Alpan, Gokalp",2.94,2.57,3.31,1.94,3.51,2.03,1.96,1.23,145
10210 - MATH 212 - MULTIVARIABLE CALCULUS - Fall 2017,"Alpan, Gokalp",2.94,2.57,3.31,1.94,3.51,2.03,1.96,1.23,145
10211 - MATH 221 - HONORS CALCULUS III - Fall 2017,"Jones, Frank",1.35,1.31,1.13,1.27,3.22,2.25,1.29,1,52
10212 - MATH 321 - INTRODUCTION TO ANALYSIS I - Fall 2017,"Sukhtaiev, Selim",1.7,1.65,1.75,1.65,3,2.25,1.44,1,20
10230 - MATH 354 - HONORS LINEAR ALGEBRA - Fall 2017,"Varilly Alvarado, Anthony",1.2,1.31,1.17,1.26,3.81,2.23,1.48,1,65
11111 - MATH 365 - NUMBER THEORY - Fall 2017,"Boshernitzan, Michael",3,1.67,2.33,2.33,2.67,3,1,0,3
11333 - MATH 368 - TOPICS IN COMBINATORICS - Fall 2015,"Funk, Quentin A.",1.8,1.5,1.7,1.6,3.4,2.4,1.8,1,10
10214 - MATH 381 - INTRO PARTIAL DIFF EQUATIONS - Fall 2017,"Gao, Zhiyong",2.65,2.52,2.7,1.7,3.57,2.3,1.5,1,23
12736 - MSNE 201 - INTRO TO NANOENGINEERING - Fall 2017,"Ringe, Emilie",2.29,2.29,2.48,2.43,3.1,2.14,1.7,1,21
15842 - MSNE 301 - MATERIALS SCIENCE - Fall 2017,"Vajtai, Robert",1.92,1.83,2.08,1.94,3.06,2,1.44,1.5,36
15843 - MSNE 301 - MATERIALS SCIENCE - Fall 2017,"John, Randy C.",2.21,1.88,2.29,2.21,3.21,2.33,1.38,1,24
11020 - NEUR 385 - FUNDAMENTALS OF NEUROSCIENCE - Fall 2017,"Caprette, David",1.58,1.63,1.56,1.5,3.4,2.59,1.73,1,60
14015 - PHYS 101 - MECHANICS (WITH LAB) - Fall 2017,"Padley, Brian P.; Beaird, Robert P.; Cone, Michael T.; Pu, Han; Yu, Lam H.",2.02,1.97,2.26,1.55,3.86,2.04,1.92,1.31,118
14015 - PHYS 101 - MECHANICS (WITH LAB) - Fall 2017,"Padley, Brian P.; Beaird, Robert P.; Cone, Michael T.; Pu, Han; Yu, Lam H.",2.02,1.97,2.26,1.55,3.86,2.04,1.92,1.31,118
10258 - PHYS 111 - HONORS MECHANICS (WITH LAB) - Fall 2017,"Chan, Anthony A.; Dodds, Stanley A.",1.68,1.6,1.64,1.36,3.64,2.2,1.4,1,25
10259 - PHYS 125 - GENERAL PHYSICS (WITH LAB) - Fall 2017,"Hafner, Jason H.; Dodds, Stanley A.; Roberts, Jabus B.; Stenson, Jared R.",2.17,2.3,2.39,1.79,3.57,2.1,2,1.18,138
15067 - PHYS 144 - THE PHYSICS OF MUSIC AND SOUND - Fall 2016,"Toffoletto, Frank R.",1.42,1.17,1.42,1.58,2.42,1.25,1.42,1,12
15242 - POLI 420 - ELECTION SYSTEMS - Fall 2016,"Byrne, Michael D.; Stein, Robert M.; Wallach, Dan S.",3,2.56,2.6,2.26,2.65,2.53,1.35,1,42
15241 - PSYC 420 - ELECTION SYSTEMS - Fall 2016,"Byrne, Michael D.; Stein, Robert M.; Wallach, Dan S.",3,2.56,2.6,2.26,2.65,2.53,1.35,1,42
11168 - SOCI 304 - ENVIRON ISSUES: RICE IN FUTURE - Fall 2017,"Johnson, Richard R.",1.4,1.53,1.27,1.4,3.33,2.53,1.13,1,15
10336 - STAT 280 - ELEMENTARY APPLIED STATISTICS - Fall 2017,"Atkinson, Edward N.",2.2,2.02,2.38,2.21,2.85,2.22,1.3,1,61
10336 - STAT 280 - ELEMENTARY APPLIED STATISTICS - Fall 2017,"Atkinson, Edward N.",2.2,2.02,2.38,2.21,2.85,2.22,1.3,1,61
10337 - STAT 305 - INTRO TO STAT FOR BIOSCIENCES - Fall 2017,"Atkinson, Edward N.",2.36,2.24,2.51,2.13,3.2,2.44,1.29,1,55
10337 - STAT 305 - INTRO TO STAT FOR BIOSCIENCES - Fall 2017,"Atkinson, Edward N.",2.36,2.24,2.51,2.13,3.2,2.44,1.29,1,55
21319 - STAT 310 - PROBABILITY &amp; STATISTICS - Spring 2017,"Ernst, Philip A.",1.37,1.37,1.35,1.53,2.88,2.26,1.37,0,43
10643 - STAT 405 - R FOR DATA SCIENCE - Fall 2017,"Bertolusso, Roberto L.",2.53,2.22,2.41,2.02,2.76,2.22,1.05,1.2,45
10643 - STAT 405 - R FOR DATA SCIENCE - Fall 2017,"Bertolusso, Roberto L.",2.53,2.22,2.41,2.02,2.76,2.22,1.05,1.2,45
