title,instructor,organization,assignments,overall rating,challenge,workload,requirement,expected grade,expected grade P/F,response count
21792 - ASIA 371 - CHINESE PAINTING - Spring 2017,"Huang, Shih-Shan S.",1,1,1,1,3.75,3,1.33,1,4
13441 - ASIA 372 - CHINESE ART AND VISUAL CULTURE - Fall 2015,"Huang, Shih-Shan S.",1.88,1.63,1.5,1.25,2.86,2.63,1.29,1,8
15060 - ASIA 378 - CROSS-CULTURAL ASIAN MUSIC - Fall 2017,"Chen, Shih-Hui",1.83,1.83,1.5,1.8,2.17,2.83,1.17,1,6
14104 - CHIN 141 - FIRST YEAR CHINESE I - Fall 2017,"Yeh, Meng",1,1.11,1.11,1,3.56,2,1.22,1,9
14104 - CHIN 141 - FIRST YEAR CHINESE I - Fall 2017,"Yeh, Meng",1,1.11,1.11,1,3.56,2,1.22,1,9
14104 - CHIN 141 - FIRST YEAR CHINESE I - Fall 2017,"Yeh, Meng",1,1.11,1.11,1,3.56,2,1.22,1,9
14104 - CHIN 141 - FIRST YEAR CHINESE I - Fall 2017,"Yeh, Meng",1,1.11,1.11,1,3.56,2,1.22,1,9
11289 - CHIN 211 - ACCEL ELEMENTARY CHINESE I - Fall 2017,"Chien, Yi-Chia",1.6,1.75,1.4,1.8,2.4,2.8,1,0,5
12746 - CHIN 263 - SECOND YEAR CHINESE I - Fall 2017,"Fu, Liang",2,1.64,1.55,1.55,3.2,2.45,1.3,1,11
15772 - CHIN 301 - THIRD YEAR CHINESE I - Fall 2017,"Fu, Liang",2.62,2,2.08,1.85,3.23,3.83,1.09,1,13
10554 - CHIN 311 - ACCEL INTERMEDIATE CHINESE I - Fall 2017,"Fu, Liang",2,1.67,1.86,2,2.71,2.71,1,1,7
15173 - CHIN 335 - CLASSICAL CHINESE NOVELS - Fall 2016,"Qian, Nanxiu",1.47,1.47,1.24,1.71,2,2.12,1.25,1,17
17243 - CHIN 401 - FOURTH YEAR CHINESE I - Fall 2017,"Chien, Yi-Chia",1.67,2.17,2,1.5,3.5,4,1.6,1,6
15774 - CLAS 107 - GREEK CIVILIZATION &amp; LEGACY - Fall 2017,"Yunis, Harvey",1.43,1.57,1.62,1.57,3.05,1.85,1.53,1,21
10706 - CLAS 201 - HISTORY OF PHILOSOPHY I - Fall 2017,"Siewert, Charles",1.59,1.73,1.7,1.73,2.68,2.11,1.15,1,37
10188 - ENGL 200 - CRITICAL READING AND WRITING - Fall 2017,"Browning, Logan D.",2.25,1.94,2.13,2.13,2.69,2,1.19,0,16
10188 - ENGL 200 - CRITICAL READING AND WRITING - Fall 2017,"Browning, Logan D.",2.25,1.94,2.13,2.13,2.69,2,1.19,0,16
10188 - ENGL 200 - CRITICAL READING AND WRITING - Fall 2016,"Ellenzweig, Sarah",1.29,1.18,1.19,1.53,3.29,2.06,1.18,1,17
10517 - ENGL 210 - MAJ BRIT WRITERS:CHAUCER-1800 - Fall 2017,"McAdams, Alexander L.",1.43,1.43,1.57,1.43,3.71,2.57,1.43,1,7
11534 - ENGL 270 - ASPECTS OF MODERN LITERATURE - Fall 2015,"Morris, Wesley A.",1.67,1.8,1.8,2.07,2.73,1.93,1.07,1,15
16567 - ENGL 301 - INTRO TO FICTION WRITING - Fall 2017,"Schimmel, Ian B.",1.27,1.2,1.13,1.07,2.8,2.67,1,1,15
10873 - ENGL 301 - INTRO TO FICTION WRITING - Fall 2016,"Dermont, Amber P.",1.31,1.38,1.08,1.15,2.69,3.77,1.31,0,13
10874 - ENGL 304 - INTRO TO POETRY WRITING - Fall 2016,"Otremba, Paul R.",1.64,1.43,1.57,1.36,2.46,3.64,1.21,0,14
15646 - ENGL 305 - INTRO CREATIVE NONFICT WRITING - Fall 2017,"Johnson, Lacy M.",1.86,1.71,1.46,1.43,2.79,3.5,1.31,1,14
20742 - ENGL 320 - SHAKESPEARE ON FILM - Spring 2016,"Huston, J D.",1.24,1.12,1.06,1.15,3.09,2.75,1.16,1,33
14453 - ENGL 332 - LIT OF BRITISH ENGLIGHTENMENT - Fall 2009,"Ellenzweig, Sarah",1.92,2.23,2.15,2.15,3.46,2.46,2,5,13
23854 - ENGL 341 - VICTORIAN LITERATURE &amp; CULTURE - Spring 2017,"Browning, Logan D.",1.57,1.29,1.5,1.71,2.79,2.31,1.15,1,14
21559 - ENGL 346 - 20TH CENTURY BRITISH LIT. - Spring 2014,"Lamos, Colleen R.",2.6,2.6,2.6,2,4.2,2,2,3.67,5
23909 - ENGL 355 - MODERN SHORT STORY - Spring 2017,"Harter, Deborah A.",1.59,1.41,1.24,1.68,2.33,2.45,1.05,1,22
13697 - ENGL 360 - AMER LITERATURE: BEFORE 1860 - Fall 2017,"Johnson, Amanda L.",2,2,2.14,1.93,3.43,2.21,1.38,0,14
15650 - ENST 368 - LITERATURE &amp; THE ENVIRONMENT - Fall 2016,"Woods, Derek J.",1.29,1.43,1.43,1.57,3,3.14,1,1,7
23741 - FILM 215 - MYSTIC CINEMA - Spring 2017,"Ogren, Brian E.",1.92,1.83,1.83,2,2.17,1.75,1.45,1,12
13435 - FILM 275 - COMICS AND SEQUENTIAL ART - Fall 2016,"Sperandio, Christopher J.",1.78,1.44,1.56,1.33,3.11,2.78,1.11,1,9
12271 - FILM 280 - HISTORY &amp; AESTHETICS OF FILM - Fall 2017,"Dove, Charles",1.31,1.44,1.38,1.38,2.38,2.81,1.19,1,16
15531 - FILM 287 - INTRO TO VIDEO AND INSTALL ART - Fall 2017,"Hunter, Allison M.",1.6,2,2.1,1.7,3.1,2,1,1,10
11197 - FILM 327 - DOCUMENTARY PRODUCTION - Fall 2017,"Stringer, Tish M.; Huberman, Brian M.",2.17,2.33,1.83,1.67,3.83,1.33,1,1,6
11384 - FILM 433 - FILM GENRE: SCIENCE FICTION - Fall 2017,"Dove, Charles",1.6,1.6,1.5,1.5,2.2,2.8,1.13,1,10
11091 - FOTO 205 - INTRODUCTION TO PHOTOGRAPHY - Fall 2017,"Winningham, Geoffrey L.",1.44,1.22,1.22,1.22,3.11,2.89,1.11,0,9
11091 - FOTO 205 - INTRODUCTION TO PHOTOGRAPHY - Fall 2017,"Winningham, Geoffrey L.",1.44,1.22,1.22,1.22,3.11,2.89,1.11,0,9
11091 - FOTO 205 - INTRODUCTION TO PHOTOGRAPHY - Fall 2017,"Winningham, Geoffrey L.",1.44,1.22,1.22,1.22,3.11,2.89,1.11,0,9
12702 - FOTO 310 - INTERMEDIATE DIGITAL PHOTO - Fall 2017,"Hunter, Allison M.",1.22,1.56,1.44,1.56,2.67,2.22,1,0,9
14107 - FREN 141 - FIRST YEAR FRENCH I - Fall 2017,"Emami, Maryam",1.88,1.63,1.69,1.63,2.94,1.81,1.29,1,16
14107 - FREN 141 - FIRST YEAR FRENCH I - Fall 2017,"Emami, Maryam",1.88,1.63,1.69,1.63,2.94,1.81,1.29,1,16
14107 - FREN 141 - FIRST YEAR FRENCH I - Fall 2017,"Emami, Maryam",1.88,1.63,1.69,1.63,2.94,1.81,1.29,1,16
12749 - FREN 263 - SECOND YEAR FRENCH I - Fall 2017,"Kaplan, S. C.",2.71,2.64,2.71,2,3.57,2.71,1.5,1,14
12749 - FREN 263 - SECOND YEAR FRENCH I - Fall 2017,"Kaplan, S. C.",2.71,2.64,2.71,2,3.57,2.71,1.5,1,14
15710 - FREN 301 - ADV GRAM &amp; LIT &amp; CULTURAL APP - Fall 2016,"Wood, Philip R.",1.67,1.67,1.67,1,3.67,2,1.5,1,3
10682 - FREN 311 - PRE-REV FRENCH LIT - Fall 2017,"Nelson-Campbell, Deborah H.",1.9,1.6,1.7,1.6,3.3,2.3,1,1,10
11147 - FREN 313 - MAJ LITERARY WORKS &amp; ARTIFACTS - Fall 2014,"Aresu, Bernard",1.6,1.4,1.6,1.4,3.6,1.8,1.4,0,5
16610 - FREN 321 - INTRO FRENCH SOCIETY &amp; CULTURE - Fall 2012,"Fette, Julie",1.75,1.75,1.75,1.75,3.5,3.25,1.33,1,4
23908 - FREN 355 - MODERN SHORT STORY - Spring 2017,"Harter, Deborah A.",1.59,1.41,1.24,1.68,2.33,2.45,1.05,1,22
24767 - FSEM 100 - ROMANCING RELIGION - Spring 2016,"Fanger, Claire L.",1.75,1.5,1.63,1.88,2,1.75,1.13,1,8
14111 - GERM 141 - FIRST YEAR GERMAN I - Fall 2017,"Baig, Fatima",1.22,1.39,1.39,1.24,2.94,2,1.44,1,18
14111 - GERM 141 - FIRST YEAR GERMAN I - Fall 2017,"Baig, Fatima",1.22,1.39,1.39,1.24,2.94,2,1.44,1,18
15203 - GERM 141 - FIRST YEAR GERMAN I - Fall 2017,"Kley, Katharina",1.92,1.57,1.83,1.86,2.71,2.5,1.1,1,13
17230 - GERM 263 - SECOND YEAR GERMAN I - Fall 2017,"Kley, Katharina",1.2,1.2,1.2,2,3,2.6,1.25,1,5
13898 - GERM 301 - THIRD YEAR GERMAN I - Fall 2017,"Oesmann, Astrid",1.13,1.13,1.25,1.38,2.38,2,1.13,1,8
11309 - GERM 326 - GERMAN FAIRY TALE: OLD &amp; NEW - Fall 2017,"Weissenberger, Klaus H.",2.19,2.13,2,2.2,1.73,1.87,1.29,1,16
10489 - GREE 101 - ELEMENTARY GREEK I - Fall 2017,"Mackie, Hilary S.",1.44,1.33,1.33,1.44,2.44,2.67,1.11,0,9
15147 - GREE 201 - INTERMEDIATE GREEK I: PROSE - Fall 2017,"Mackie, Hilary S.",1,1,1,1.25,3.5,2,1.5,0,4
16680 - GREE 307 - ADVANCED GREEK: PROSE - Fall 2017,"Yunis, Harvey",1,1,1,1,3.5,3,1,0,2
13173 - HART 220 - ISTANBUL: IMPERIAL CITY - Fall 2008,"Hamadeh, Shirine T.",1.5,1.5,1.5,1,1.5,4,1.5,0,2
17037 - HART 225 - HISTORY &amp; THEORY I (INTRO) - Fall 2017,"Geiser, Reto",1.41,1.55,1.48,1.67,2.53,2.2,1.37,1.53,51
12273 - HART 280 - HISTORY &amp; AESTHETICS OF FILM - Fall 2017,"Dove, Charles",1.31,1.44,1.38,1.38,2.38,2.81,1.19,1,16
15545 - HART 328 - EPIPHANIES - Fall 2016,"Brennan, Marcia G.",1.27,1.27,1.09,1.09,2.36,2.36,1.27,1,11
21791 - HART 371 - CHINESE PAINTING - Spring 2017,"Huang, Shih-Shan S.",1,1,1,1,3.75,3,1.33,1,4
13440 - HART 372 - CHINESE ART AND VISUAL CULTURE - Fall 2015,"Huang, Shih-Shan S.",1.88,1.63,1.5,1.25,2.86,2.63,1.29,1,8
15533 - HART 377 - MEDIEVAL MANUSCRIPTS - Fall 2016,"Neagley, Linda; Wolfthal, Diane B.",1.33,1.44,1.33,1.33,2.78,2.63,1.33,1,9
24366 - HART 435 - MULTICULTURAL EUROPE - Spring 2010,"Wolfthal, Diane B.",1.8,2,1.6,2.2,3,2.4,1.8,5,5
15205 - HIND 106 - ACCEL FIRST YEAR HINDI - Fall 2017,"Chaudhry, Divya",1,1,1,1,3,4,1,0,2
15205 - HIND 106 - ACCEL FIRST YEAR HINDI - Fall 2017,"Chaudhry, Divya",1,1,1,1,3,4,1,0,2
15204 - HIND 141 - FIRST YEAR HINDI I - Fall 2017,"Chaudhry, Divya",1.4,1.4,1.4,1.4,2.5,2.2,1,2,5
"10247 - HIST 101 - MODERN EUROPE, 1500-1789 - Fall 2017","Zammito, John H.",1.38,1.82,1.47,1.62,2.84,1.42,1.34,1,45
17401 - HIST 117 - EARLY AMERICA - Fall 2017,"Johnson, David A.",2.57,1.71,2,1.71,3.33,2,1.14,0,7
15180 - HIST 200 - ANCIENT EMPIRES - Fall 2017,"Maas, Michael R.",1.88,1.76,1.53,1.82,2.41,1.94,1.29,1,17
25117 - HIST 205 - MEDIEVAL MEDITERRANEAN WORLD - Spring 2016,"Irish, Maya S.; Sanders, Paula",1.67,1.83,1.83,1.83,2.33,1.67,1.67,1,6
15549 - HIST 212 - CONTEMPORARY CHINA - Fall 2016,"Barlow, Tani",4,2.2,2.4,1.2,3.6,2.6,1,0,5
13731 - HIST 217 - HISTORY: THE WORKSHOP - Fall 2017,"Yarbrough, Fay A.",1.47,1.47,1.26,1.42,3.16,2.33,1.17,1,19
26403 - HIST 251 - BRAZIL: CONTINUITY &amp; CHANGE - Spring 2012,"Metcalf, Alida C.",1.71,1.53,1.71,2.12,2.88,2.12,1.18,4.2,17
27872 - HIST 266 - SLAVERY &amp; THE FOUNDING FATHERS - Spring 2013,"Sidbury, James",1.75,1.92,1.75,1.75,3.33,2.42,1.64,3.4,12
13732 - HIST 278 - MODERN ARAB HISTORY - Fall 2015,"Makdisi, Ussama",1.7,2.1,1.4,1.3,2.9,2.5,1.25,1,10
12472 - HIST 295 - THE AMERICAN SOUTH - Fall 2016,"Boles, John B.",1.29,1.5,1.43,2,2.57,2.43,1.42,1,14
16760 - HIST 312 - BIOMEDICAL APPROACH TO HISTORY - Fall 2017,"Lopez Alonso, Moramay",1.62,1.62,1.46,1.77,2.85,2.54,1.42,1,13
22362 - HIST 321 - US ENVIRONMENTAL HISTORY - Spring 2014,"Hall, Randal L.",1,1,1,1,4,3,1,0,2
15185 - HIST 327 - MEDIEVAL BORDERLANDS - Fall 2016,"Irish, Maya S.",1.5,1.75,1.5,1.63,2.75,2.38,1.29,1,8
13478 - HIST 351 - AMERICA SINCE 1945 - Fall 2017,"Citino, Nathan J.",1.54,1.31,1.46,1.38,3.54,2.46,2,1,13
"16491 - HIST 361 - TUDORS AND STUARTS, 1485-1707 - Fall 2017","Pollnitz, Aysha E.",1.31,1.38,1.31,1.31,2.94,2.56,1.07,1,16
26416 - HIST 375 - EUROPEAN ROMANTICISM 1750-1850 - Spring 2013,"Zammito, John H.",1.25,1.83,1.25,1.25,3.92,2.83,1.45,3.67,12
18456 - HIST 378 - MODERN ARAB HISTORY - Fall 2013,"Makdisi, Ussama",2,1.94,1.94,1.69,2.81,2.44,1.75,4,16
15853 - HIST 395 - THE AMERICAN SOUTH - Fall 2016,"Boles, John B.",1.29,1.5,1.43,2,2.57,2.43,1.42,1,14
24639 - HIST 443 - MULTICULTURAL EUROPE - Spring 2010,"Wolfthal, Diane B.",1.8,2,1.6,2.2,3,2.4,1.8,5,5
15775 - HUMA 107 - GREEK CIVILIZATION &amp; LEGACY - Fall 2017,"Yunis, Harvey",1.43,1.57,1.62,1.57,3.05,1.85,1.53,1,21
11310 - HUMA 372 - GERMAN FAIRY TALE: OLD &amp; NEW - Fall 2017,"Weissenberger, Klaus H.",2.19,2.13,2,2.2,1.73,1.87,1.29,1,16
14113 - ITAL 141 - FIRST YEAR ITALIAN I - Fall 2017,"Giliberti, Maria C.",1.43,1.14,1.29,1.14,3.36,3.07,2.08,1,14
14113 - ITAL 141 - FIRST YEAR ITALIAN I - Fall 2017,"Giliberti, Maria C.",1.43,1.14,1.29,1.14,3.36,3.07,2.08,1,14
13166 - ITAL 263 - INTERMEDIATE ITALIAN II - Fall 2014,"Giliberti, Maria C.",1.78,1.67,1.44,1.33,2.78,3.67,1,1,9
14114 - JAPA 141 - FIRST YEAR JAPANESE I - Fall 2017,"Ozaki, Naoko",1.11,1.22,1.06,1.21,3.47,2.58,1.19,1,19
14114 - JAPA 141 - FIRST YEAR JAPANESE I - Fall 2017,"Ozaki, Naoko",1.11,1.22,1.06,1.21,3.47,2.58,1.19,1,19
14114 - JAPA 141 - FIRST YEAR JAPANESE I - Fall 2017,"Ozaki, Naoko",1.11,1.22,1.06,1.21,3.47,2.58,1.19,1,19
14114 - JAPA 141 - FIRST YEAR JAPANESE I - Fall 2017,"Ozaki, Naoko",1.11,1.22,1.06,1.21,3.47,2.58,1.19,1,19
15207 - JAPA 263 - SECOND YEAR JAPANESE I - Fall 2017,"Ozaki, Naoko",1.47,1.53,1.4,1.73,3.4,2.93,1,1,15
15700 - JWST 120 - ISRAEL: LANGUAGE AND CULTURE I - Fall 2016,"Weininger, Melissa S.",1.6,1,1.2,1.2,2.8,3,1.33,1,5
14117 - KORE 141 - FIRST YEAR KOREAN I - Fall 2017,"Song, Jayoung",1.09,1.09,1.18,1.55,2.27,2.18,1,0,11
14117 - KORE 141 - FIRST YEAR KOREAN I - Fall 2017,"Song, Jayoung",1.09,1.09,1.18,1.55,2.27,2.18,1,0,11
15208 - KORE 141 - FIRST YEAR KOREAN I - Fall 2017,"Lee, Jin",1.25,1.2,1.2,1.25,1.6,1.6,1,1,4
16301 - KORE 263 - SECOND YEAR KOREAN I - Fall 2017,"Song, Jayoung",1.5,1.6,1.6,1.7,3.8,3.4,1.1,0,10
16302 - KORE 301 - THIRD YEAR KOREAN I - Fall 2017,"Lee, Jin",1.83,2,1.67,1.5,2.5,3,1,0,6
15715 - LASR 158 - INTRO LATIN AMERICAN STUDIES - Fall 2017,"Gutierrez, Manuel",2.64,2.29,2,1.57,2.86,2.07,1.27,1,14
13566 - LASR 251 - BRAZIL: CONTINUITY &amp; CHANGE - Fall 2015,"Metcalf, Alida C.; Souza Paula, Leonora",1.75,1.75,1.75,1.5,2.75,2.25,1,0,4
10487 - LATI 101 - ELEMENTARY LATIN I - Fall 2017,"Somerville, Ted",1.75,1.38,1.38,1.63,2.88,3.38,1.29,1,8
13167 - LATI 201 - INTERMEDIATE LATIN I: PROSE - Fall 2017,"Somerville, Ted",1.5,1,1,1,3.5,1.5,2,0,2
27601 - LATI 313 - CICERO AND CATULLUS - Spring 2013,"Yunis, Harvey",1.5,1.5,1.5,1,4,4,1,3,2
12648 - MDEM 101 - ELEMENTARY LATIN I - Fall 2017,"Somerville, Ted",1.75,1.38,1.38,1.63,2.88,3.38,1.29,1,8
12652 - MDEM 201 - HISTORY OF PHILOSOPHY I - Fall 2015,"Morrison, Donald R.",2.13,2.13,2.42,2.1,2.94,2,1.46,1.44,31
25118 - MDEM 205 - MEDIEVAL MEDITERRANEAN WORLD - Spring 2016,"Irish, Maya S.; Sanders, Paula",1.67,1.83,1.83,1.83,2.33,1.67,1.67,1,6
13168 - MDEM 211 - INTERMEDIATE LATIN I: PROSE - Fall 2016,"Somerville, Ted",1.25,1.5,1.25,1.5,3,1.5,1.5,0,4
15186 - MDEM 327 - MEDIEVAL BORDERLANDS - Fall 2016,"Irish, Maya S.",1.5,1.75,1.5,1.63,2.75,2.38,1.29,1,8
15174 - MDEM 375 - CLASSICAL CHINESE NOVELS - Fall 2016,"Qian, Nanxiu",1.47,1.47,1.24,1.71,2,2.12,1.25,1,17
15534 - MDEM 377 - MEDIEVAL MANUSCRIPTS - Fall 2016,"Neagley, Linda; Wolfthal, Diane B.",1.33,1.44,1.33,1.33,2.78,2.63,1.33,1,9
10361 - MUSI 117 - FUNDAMENTALS OF MUSIC I - Fall 2017,"Besch, Christopher M.",1.56,1.5,1.56,1.88,2.06,1.5,1,0,18
10361 - MUSI 117 - FUNDAMENTALS OF MUSIC I - Fall 2017,"Besch, Christopher M.",1.56,1.5,1.56,1.88,2.06,1.5,1,0,18
10361 - MUSI 117 - FUNDAMENTALS OF MUSIC I - Fall 2017,"Besch, Christopher M.",1.56,1.5,1.56,1.88,2.06,1.5,1,0,18
10584 - MUSI 117 - FUNDAMENTALS OF MUSIC I - Fall 2017,"Park, Samuel",1.65,1.29,1.24,1.71,2,2.41,1.29,1,17
10380 - MUSI 317 - THEORY FOR NON MAJORS I - Fall 2017,"Eryilmaz, Erberk",2.35,2.35,2.24,2.41,1.82,1.71,1.2,1,17
10380 - MUSI 317 - THEORY FOR NON MAJORS I - Fall 2017,"Eryilmaz, Erberk",2.35,2.35,2.24,2.41,1.82,1.71,1.2,1,17
10380 - MUSI 317 - THEORY FOR NON MAJORS I - Fall 2017,"Eryilmaz, Erberk",2.35,2.35,2.24,2.41,1.82,1.71,1.2,1,17
10381 - MUSI 321 - BAROQUE &amp; EARLY CLASSICAL ERAS - Fall 2017,"Barnett, Gregory R.",1.85,1.96,1.92,1.85,3.15,1.81,1.96,1,26
15059 - MUSI 378 - CROSS-CULTURAL ASIAN MUSIC - Fall 2017,"Chen, Shih-Hui",1.83,1.83,1.5,1.8,2.17,2.83,1.17,1,6
10396 - MUSI 421 - THE MODERN ERA - Fall 2017,"Bailey, Walter B.",1.16,1.11,1.05,1.26,2.89,1.84,1.21,0,19
13100 - PHIL 103 - PHIL ASPECT COGNITIVE SCIENCE - Fall 2017,"Schroeder, Timothy A.",2.92,3.16,3.04,2.35,2.04,2.15,1.56,1,26
15619 - PHIL 111 - INTRO TO FEMINIST PHILOSOPHY - Fall 2017,"Yao, Vida",1.26,1.37,1.26,1.32,2.79,2.89,1.42,0,19
10697 - PHIL 201 - HISTORY OF PHILOSOPHY I - Fall 2017,"Siewert, Charles",1.59,1.73,1.7,1.73,2.68,2.11,1.15,1,37
16276 - PHIL 303 - THEORY OF KNOWLEDGE - Fall 2017,"Schroeder, Timothy A.",2,2.15,2.31,1.77,3,2.46,1.69,1,13
24640 - PHIL 304 - METAPHYSICS - Spring 2016,"Horowitz, Sophie P.",1.8,2,1.7,1.5,2.6,1.8,1.4,1,10
14986 - PHIL 306 - ETHICS - Fall 2017,"Sher, George",1.64,1.27,1.27,1.36,3,1.45,1.33,1,11
23415 - PHIL 308 - CONTINENTAL PHILOSOPHY - Spring 2016,"Crowell, Steven G.",2,1.17,1.83,1.33,3.17,3.33,1.5,0,6
16729 - PHIL 326 - HISTORY OF ETHICS - Fall 2017,"Yao, Vida",1.56,1.56,1.44,1.5,3.5,2.38,1.33,1,16
24643 - PHIL 336 - TOPICS IN MEDICAL ETHICS - Spring 2016,"Brody, Baruch A.",1,1,1.13,1.13,2.63,2.25,1,1,8
17809 - PHIL 352 - PHILOSOPHY OF PSYCHOLOGY - Fall 2012,"Siewert, Charles",1.9,1.8,1.9,1.8,3.2,2.5,1.3,5,10
14119 - PORT 106 - ACCEL FIRST YEAR PORTUGUESE - Fall 2017,"Scutti Santos, Helade",1.4,1.4,1.3,1.4,2.5,2.5,1.14,1.5,10
16303 - PORT 301 - THIRD YEAR PORTUGUESE I - Fall 2017,"Scutti Santos, Helade",1.33,1,1,1.5,3,4,1,2,3
24765 - RELI 100 - ROMANCING RELIGION - Spring 2016,"Fanger, Claire L.",1.75,1.5,1.63,1.88,2,1.75,1.13,1,8
12354 - RELI 101 - INTRO TO THE STUDY OF RELIGION - Fall 2017,"Kripal, Jeffrey J.",1.98,2.37,2.15,2.4,2.08,1.67,1.39,1.24,102
14278 - RELI 157 - RELIGION AND HIP HOP - Fall 2009,"Pinn, Anthony B.",1.83,1.94,1.81,1.81,2.77,3.37,1.85,3.57,30
23740 - RELI 215 - MYSTIC CINEMA - Spring 2017,"Ogren, Brian E.",1.92,1.83,1.83,2,2.17,1.75,1.45,1,12
12336 - RELI 301 - NIETZSCHE &amp; RELIGIOUS THOUGHT - Fall 2017,"Stroup, John M.",1.25,1,1.25,1.5,2.5,4,1,0,4
13569 - RELI 311 - RELIGION AND HIP HOP - Fall 2015,"Pinn, Anthony B.",2.02,2.39,1.79,2.01,2.52,2.2,1.53,1,84
16644 - RELI 334 - PSYCHOLOGY OF RELIGION - Fall 2017,"Parsons, William B.",1.8,1.6,1.67,1.93,2.33,1.57,1.5,1,15
"15000 - RELI 337 - SHAMANS, SAINTS, &amp; SAGES - Fall 2017","Parsons, William B.",1.67,1.75,1.58,1.42,2.58,2.33,1.18,1,12
23743 - RELI 344 - END OF LIFE SEMINAR - Spring 2017,"Brennan, Marcia G.",1,1.08,1,1,2.77,2.67,1.18,1,13
23747 - RELI 348 - CHRISTIANITY &amp; ISLAM IN AFRICA - Spring 2017,"Bongmba, Elias K.; Cook, David B.",2.1,1.9,1.4,1.4,2.6,2.4,1.2,0,10
15544 - RELI 375 - EPIPHANIES - Fall 2016,"Brennan, Marcia G.",1.27,1.27,1.09,1.09,2.36,2.36,1.27,1,11
17227 - RELI 378 - BUDDHIST ART AND LITERATURE - Fall 2017,"Cox, Simon P.",1.15,1.29,1.29,1.5,1.71,2.36,1.08,1,13
13729 - RELI 395 - LOSING YOUR RELIGION IN FILM - Fall 2017,"Stroup, John M.",1.85,1.92,1.92,1.92,2.62,2.62,1.33,1,13
14120 - RUSS 141 - FIRST YEAR RUSSIAN I - Fall 2017,"Moskvitina, Larisa I.",2.25,2.25,2.13,1.63,2.63,2.5,1.5,1,8
12757 - RUSS 263 - SECOND YEAR RUSSIAN I - Fall 2015,"Ludwig, Jonathan Z.",1.08,1.31,1.15,1.46,2.46,3.23,1.08,1.5,13
23705 - RUSS 301 - ADVANCED RUSSIAN I - Spring 2015,"Ludwig, Jonathan Z.",1.33,1.5,1.4,1.17,3.17,3.33,1,0,6
14121 - SPAN 141 - FIRST YEAR SPANISH I - Fall 2017,"Diaz Montalvo, Thais M.",2.5,2.25,2.42,2,2.75,2.25,1.36,1,12
14121 - SPAN 141 - FIRST YEAR SPANISH I - Fall 2017,"Diaz Montalvo, Thais M.",2.5,2.25,2.42,2,2.75,2.25,1.36,1,12
14121 - SPAN 141 - FIRST YEAR SPANISH I - Fall 2017,"Diaz Montalvo, Thais M.",2.5,2.25,2.42,2,2.75,2.25,1.36,1,12
