title,instructor,organization,assignments,overall rating,challenge,workload,requirement,expected grade,expected grade P/F,response count
11737 - ANTH 324 - DOCUMENTARY PRODUCTION - Fall 2017,"Stringer, Tish M.; Huberman, Brian M.",2.17,2.33,1.83,1.67,3.83,1.33,1,1,6
17369 - ARAB 141 - FIRST YEAR ARABIC I - Fall 2017,"Al-Maqtari, Ali A.",1.36,1.27,1.09,1.18,2.64,3.09,1,1,11
17014 - ARCH 225 - HISTORY &amp; THEORY I (INTRO) - Fall 2017,"Geiser, Reto",1.41,1.55,1.48,1.67,2.53,2.2,1.37,1.53,51
16690 - ARCH 311 - HOUSTON ARCHITECTURE - Fall 2017,"Fox, David S.",1.66,1.68,1.64,2.37,1.84,2.02,1.14,1,44
11253 - ARCH 346 - HISTORY &amp; THEORY III 1890-1968 - Fall 2017,"Colman, Scott W.",1.41,1.47,1.3,1.53,3.03,2.03,1.58,1,34
21260 - ARTS 165 - BEGINNING SCULPTURE - Spring 2017,"Lapinski, Lisa",1.5,1.42,1.45,1.5,3,2.58,1,0,12
21260 - ARTS 165 - BEGINNING SCULPTURE - Spring 2017,"Lapinski, Lisa",1.5,1.42,1.45,1.5,3,2.58,1,0,12
24041 - ARTS 225 - BEGINNING DRAWING - Spring 2017,"Fuqua, Kariann",1.5,1.33,1.58,1.36,3.75,1.83,1.09,1,12
16600 - ARTS 225 - BEGINNING DRAWING - Fall 2017,"Bernstein, Joshua",1.4,1.4,1.4,1.53,3.53,2.6,1,0,15
16600 - ARTS 225 - BEGINNING DRAWING - Fall 2017,"Bernstein, Joshua",1.4,1.4,1.4,1.53,3.53,2.6,1,0,15
13434 - ARTS 230 - COMICS AND SEQUENTIAL ART - Fall 2017,"Sperandio, Christopher J.",2.5,1.83,2.17,1.83,2.5,3,1,1,6
12272 - ARTS 280 - HISTORY &amp; AESTHETICS OF FILM - Fall 2016,"Dove, Charles",1.58,1.67,1.58,2,1.83,1.75,1.18,1,12
15694 - ARTS 301 - BEGINNING PAINTING - Fall 2017,"Fowler, William G.",1.38,1,1,1.13,2.38,3.5,1,0,8
20752 - ARTS 301 - PAINTING STUDIO - Spring 2015,"Bowdoin, Natasha M.",1.33,1.17,1.33,1.17,3.83,2.67,1.17,1,6
14532 - ARTS 311 - BEGINNING PRINTMAKING - Fall 2016,"Broker, Karin",2.13,1.5,1.5,1,4.25,2,1.25,1,8
17135 - ARTS 327 - DOCUMENTARY PRODUCTION - Fall 2012,"Stringer, Tish M.",2.67,2.33,2.5,2.33,3.92,2.82,1.1,4.2,12
15172 - ASIA 335 - CLASSICAL CHINESE NOVELS - Fall 2016,"Qian, Nanxiu",1.47,1.47,1.24,1.71,2,2.12,1.25,1,17
