title,instructor,organization,assignments,overall rating,challenge,workload,requirement,expected grade,expected grade P/F,response count
20331 - ANTH 200 - INTRO TO STUDY OF LANGUAGE - Spring 2017,"Achard, Michel J.",1.63,1.8,1.75,1.95,2.15,1.56,1.39,1,112
11092 - ANTH 203 - INTRO TO PHYSICAL ANTHROPOLOGY - Fall 2017,"McIntosh, Susan K.",1.73,1.63,1.63,2,2.56,1.5,1.36,1,41
14398 - ANTH 205 - INTRO TO ARCHAEOLOGY - Fall 2017,"Fleisher, Jeffrey B.",1.86,1.82,1.75,1.93,2.59,1.52,1.49,1,44
10240 - ANTH 300 - LINGUISTIC ANALYSIS - Fall 2016,"Englebretson, Robert E.",1.13,1.17,1.26,1.22,3.3,2.17,1.5,1,23
12499 - ANTH 340 - NEOLIBERALISM &amp; GLOBALIZATION - Fall 2014,"Boyer, Dominic C.",1.36,1.14,1.36,1.36,3.5,3.14,1.31,0,14
"13781 - ARCH 105 - ENVIRONMENT, CULTURE &amp; SOCIETY - Fall 2017","Boyer, Dominic C.; Morton, Timothy; Pope, Albert H.",4.17,3.52,3.75,3.11,2.24,2.04,1.52,1.4,29
10571 - BUSI 296 - BUSINESS COMMUNICATIONS - Fall 2017,"Schell, Herman R.",1.58,1.81,1.94,2,2.17,2.46,1.44,1.57,48
10571 - BUSI 296 - BUSINESS COMMUNICATIONS - Fall 2017,"Schell, Herman R.",1.58,1.81,1.94,2,2.17,2.46,1.44,1.57,48
15711 - BUSI 296 - BUSINESS COMMUNICATIONS - Fall 2017,"Musher, Lydia S.",1.81,1.93,1.81,1.63,2.41,2.39,1.33,1.64,57
15711 - BUSI 296 - BUSINESS COMMUNICATIONS - Fall 2017,"Musher, Lydia S.",1.81,1.93,1.81,1.63,2.41,2.39,1.33,1.64,57
17070 - BUSI 305 - FINANCIAL ACCOUNTING - Fall 2017,"Naranjo Olivares, Patricia L.",1.78,1.98,1.98,1.5,3.51,2.14,1.78,1.1,45
17070 - BUSI 305 - FINANCIAL ACCOUNTING - Fall 2017,"Naranjo Olivares, Patricia L.",1.78,1.98,1.98,1.5,3.51,2.14,1.78,1.1,45
10975 - BUSI 310 - LEADING IN ORGANIZATIONS - Fall 2017,"Obodaru, Otilia",1.39,1.59,1.36,1.84,1.71,2.39,1.28,1.17,57
