title,instructor,organization,assignments,overall rating,challenge,workload,requirement,expected grade,expected grade P/F,response count
10975 - BUSI 310 - LEADING IN ORGANIZATIONS - Fall 2017,"Obodaru, Otilia",1.39,1.59,1.36,1.84,1.71,2.39,1.28,1.17,57
17072 - BUSI 343 - FINANCIAL MANAGEMENT - Fall 2017,"Butler, Alexander W.",1.25,1.55,1.43,1.29,3.58,2.43,1.78,1,53
17072 - BUSI 343 - FINANCIAL MANAGEMENT - Fall 2017,"Butler, Alexander W.",1.25,1.55,1.43,1.29,3.58,2.43,1.78,1,53
21472 - BUSI 390 - STRATEGIC MANAGEMENT - Spring 2017,"Zavyalova, Anastasiya A.",1.63,1.84,1.86,2.1,2.45,2.1,1.36,1,51
13782 - ECON 100 - PRINCIPLES OF ECONOMICS - Fall 2017,"DeNicco, James P.",1.45,1.5,1.48,1.81,2.55,1.72,1.38,1.08,154
13782 - ECON 100 - PRINCIPLES OF ECONOMICS - Fall 2017,"DeNicco, James P.",1.45,1.5,1.48,1.81,2.55,1.72,1.38,1.08,154
13782 - ECON 100 - PRINCIPLES OF ECONOMICS - Fall 2017,"DeNicco, James P.",1.45,1.5,1.48,1.81,2.55,1.72,1.38,1.08,154
13782 - ECON 100 - PRINCIPLES OF ECONOMICS - Fall 2017,"DeNicco, James P.",1.45,1.5,1.48,1.81,2.55,1.72,1.38,1.08,154
17493 - ECON 200 - MICROECONOMICS - Fall 2017,"Brown, James N.",1.67,1.63,1.5,1.33,3.17,1.83,1.92,1,24
17493 - ECON 200 - MICROECONOMICS - Fall 2017,"Brown, James N.",1.67,1.63,1.5,1.33,3.17,1.83,1.92,1,24
17493 - ECON 200 - MICROECONOMICS - Fall 2017,"Brown, James N.",1.67,1.63,1.5,1.33,3.17,1.83,1.92,1,24
17493 - ECON 200 - MICROECONOMICS - Fall 2017,"Brown, James N.",1.67,1.63,1.5,1.33,3.17,1.83,1.92,1,24
17493 - ECON 200 - MICROECONOMICS - Fall 2017,"Brown, James N.",1.67,1.63,1.5,1.33,3.17,1.83,1.92,1,24
17493 - ECON 200 - MICROECONOMICS - Fall 2017,"Brown, James N.",1.67,1.63,1.5,1.33,3.17,1.83,1.92,1,24
13788 - ECON 203 - MACROECONOMICS - Fall 2017,"Carlton, Amelie B.",1.28,1.48,1.35,1.74,2.81,2,1.55,1,43
13788 - ECON 203 - MACROECONOMICS - Fall 2017,"Carlton, Amelie B.",1.28,1.48,1.35,1.74,2.81,2,1.55,1,43
13916 - ECON 209 - APPLIED ECONOMETRICS - Fall 2017,"Kong, Yunmi",1.41,1.89,1.61,1.46,2.96,2.04,1.81,1,27
13916 - ECON 209 - APPLIED ECONOMETRICS - Fall 2017,"Kong, Yunmi",1.41,1.89,1.61,1.46,2.96,2.04,1.81,1,27
13916 - ECON 209 - APPLIED ECONOMETRICS - Fall 2017,"Kong, Yunmi",1.41,1.89,1.61,1.46,2.96,2.04,1.81,1,27
13916 - ECON 209 - APPLIED ECONOMETRICS - Fall 2017,"Kong, Yunmi",1.41,1.89,1.61,1.46,2.96,2.04,1.81,1,27
14511 - ECON 210 - BEHAVIORAL ECONOMICS - Fall 2017,"Biavati, Michele",1.63,1.67,1.6,1.97,2.07,2.75,1.23,1,30
11882 - ECON 239 - LAW AND ECONOMICS - Fall 2017,"Warden, David E.",1.75,1.81,1.68,1.69,2.59,2.77,1.19,1,32
23567 - ECON 260 - MICROECONOMICS &amp; PUBLIC POLICY - Spring 2017,"Dudey, Marc P.",2,2.25,2.25,2.5,2.75,2.25,1.5,1,4
23568 - ECON 265 - MICRO &amp; PUBLIC POLICY/BUSINESS - Spring 2017,"Dudey, Marc P.",1,1,1,2,3,1,1,0,1
13502 - ECON 355 - FINANCIAL MARKETS - Fall 2017,"El-Gamal, Mahmoud A.",1.65,2.04,1.88,1.92,2.88,2.68,1.58,1,51
"13780 - ENST 100 - ENVIRONMENT, CULTURE &amp; SOCIETY - Fall 2017","Boyer, Dominic C.; Morton, Timothy; Pope, Albert H.",4.17,3.52,3.75,3.11,2.24,2.04,1.52,1.4,29
20332 - LING 200 - INTRO TO STUDY OF LANGUAGE - Spring 2017,"Achard, Michel J.",1.63,1.8,1.75,1.95,2.15,1.56,1.39,1,112
13806 - LING 216 - WORDS IN ENGLISH - Fall 2017,"Kemmer, Suzanne E.",2.27,2,1.93,1.93,2.2,2,1.54,1.17,15
10471 - LING 300 - LINGUISTIC ANALYSIS - Fall 2017,"Wittke, Jonas",1.43,1.39,1.5,1.54,3.14,2.18,1.12,1,28
15331 - LING 322 - LANGUAGE AND ETHNICITY - Fall 2010,"Niedzielski, Nancy A.",2,1.67,1.33,1.67,3.33,2.67,1.33,5,3
10533 - POLI 209 - INTRO TO CONST &amp; POLI THOUGHT - Fall 2016,"Cuthbertson, Gilbert M.",2.37,2.37,1.89,2.11,1.65,1.71,1.31,1,38
10050 - POLI 210 - AMERICAN GOVT AND POLITICS - Fall 2017,"Wilson, Rick K.",2.63,3.26,3.03,2.84,2.48,1.94,1.18,1.22,65
10069 - POLI 211 - INTRO INTERNATIONAL RELATIONS - Fall 2017,"Fang, Songying",1.7,1.76,1.78,2.02,2.3,2.07,1.21,1.08,67
10051 - POLI 212 - INTRO TO COMPARATIVE POLITICS - Fall 2017,"Ambler, John S.",1.94,2.04,1.91,1.98,3.33,2.46,1.46,1,48
16547 - POLI 321 - AMER CONSTITUTIONAL LAW - Fall 2017,"Cuthbertson, Gilbert M.",1.8,1.44,1.56,1.45,1.76,2.5,1.17,1,25
16749 - POLI 325 - AFRICAN AMERICAN POLITICS - Fall 2017,"Hayes, Matthew J.",1,1.43,1.14,1,3.57,2.57,1.17,1,7
10534 - POLI 365 - BRITISH POLITICS - Fall 2015,"Rusk, Jerrold G.",2.33,2.2,2.07,2,2.36,2.29,1.57,0,15
10300 - PSYC 101 - INTRODUCTION TO PSYCHOLOGY - Fall 2017,"Nicolaou, Despina C.",1.4,1.66,1.45,2.24,1.71,1.58,1.2,1,152
10300 - PSYC 101 - INTRODUCTION TO PSYCHOLOGY - Fall 2017,"Nicolaou, Despina C.",1.4,1.66,1.45,2.24,1.71,1.58,1.2,1,152
18511 - PSYC 101 - INTRODUCTION TO PSYCHOLOGY - Fall 2013,"Gurcanli, Ozge",1.8,2.01,1.91,2.42,2.22,1.71,1.33,3.83,111
20242 - PSYC 202 - INTRO TO SOCIAL PSYCHOLOGY - Spring 2017,"Parsons, Sandra V.",1.49,1.63,1.42,1.93,2.61,2.14,1.22,1.38,57
15569 - PSYC 202 - INTRO TO SOCIAL PSYCHOLOGY - Fall 2017,"Hebl, Michelle R.",1.59,1.83,1.42,1.65,2.71,2.1,1.54,1,69
11104 - PSYC 203 - INTRO TO COGNITIVE PSYCHOLOGY - Fall 2017,"Espinosa, Carissa A.",1.44,1.77,1.61,2.04,2.7,2.04,1.23,1.33,70
11147 - PSYC 203 - INTRO TO COGNITIVE PSYCHOLOGY - Fall 2010,"Byrne, Michael D.",1.68,2.06,1.94,2.01,2.91,2.06,1.55,4.29,69
23664 - PSYC 231 - INDUS &amp; ORGANIZATIONAL PSYC - Spring 2017,"Motowidlo, Stephan J.",2.68,2.91,3.09,2.48,2.18,2.45,1.94,1,22
23665 - PSYC 308 - MEMORY - Spring 2017,"Fischer-Baum, Simon J.",1.58,1.67,1.67,1.67,2.94,2.44,1.5,1,36
17060 - PSYC 321 - DEVELOPMENTAL PSYCHOLOGY - Fall 2017,"Nicolaou, Despina C.",1.48,1.68,1.43,2,1.73,3,1.08,1,40
21561 - PSYC 351 - PERCEPTION - Spring 2017,"Pomerantz, James R.",1.75,2,1.91,2.03,2.49,2.46,1.45,1,36
10707 - PSYC 370 - INTRO TO HUMAN FACTORS &amp; ERGO - Fall 2017,"Kortum, Philip T.",1.51,1.81,1.57,1.65,3.06,2.56,1.62,1.33,37
14477 - SMGT 260 - INTRO TO SPORT MANAGEMENT - Fall 2017,"Crossey, Diane M.",1.45,1.5,1.38,1.93,2.13,2.03,1.15,1.5,40
12308 - SMGT 350 - SPORT ETHICS - Fall 2017,"Haptonstall, Clark D.",1.21,1.14,1.07,1.43,2.64,2.21,1,1,14
15136 - SMGT 364 - SPORT LAW - Fall 2017,"Jones, Karen L.",3,2.94,3.13,2.88,2.56,2,1.38,0,16
15136 - SMGT 364 - SPORT LAW - Fall 2017,"Jones, Karen L.",3,2.94,3.13,2.88,2.56,2,1.38,0,16
13492 - SOCI 101 - INTRODUCTION TO SOCIOLOGY - Fall 2017,"Werth, Robert J.",1.8,1.85,1.78,1.83,2.71,1.72,1.21,1.3,120
12705 - SOCI 101 - INTRODUCTION TO SOCIOLOGY - Fall 2017,"Elliott, James R.",1.51,1.65,1.53,1.62,2.65,1.78,1.38,1,37
26751 - SOCI 306 - SOCIOLOGY OF GENDER - Spring 2013,"Paige, Robin",1.57,1.62,1.49,1.66,2.97,2.46,1.42,4.08,35
11182 - SOCI 313 - DEMOGRAPHY - Fall 2017,"Murdock, Steve H.",3,2.71,2.57,2.71,2.29,3.14,1.14,0,7
24273 - SOCI 314 - SCIENCE AT RISK - Spring 2015,"Ecklund, Elaine H.",1.39,1.56,1.39,1.44,2.89,2,1.23,1,18
16342 - SOCI 345 - MEDICAL SOCIOLOGY - Fall 2017,"Freeman Cenegy, Laura",2.52,2.48,2.56,2.48,2.89,2.56,1.15,1,27
16344 - SOCI 380 - SOCIAL THEORY - Fall 2017,"Werth, Robert J.",1.29,1.33,1.24,1.14,4.62,2,1.24,1,21
26752 - SWGS 324 - SOCIOLOGY OF GENDER - Spring 2013,"Paige, Robin",1.57,1.62,1.49,1.66,2.97,2.46,1.42,4.08,35
